sample	Extraction	Specimen	Species	Feature_name	OTU	abundance	run	barcode	database	Broad.group	Interpretation	Phylum	Class	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	R1	pR1	R2	pR2	R3	pR3	R4	pR4	R5	pR5	R6	pR6	R7	pR7	R8	pR8	R9	pR9	R10	pR10	R11	pR11	R12	pR12	R13	pR13	R14	pR14	R15	pR15	R16	pR16	R17	pR17	R18	pR18	R19	pR19	R20	pR20
25_Physo				017d0aa2495cd2bd94a8b49ac7755542	Eukaryota_Bilateria_Deuterostomia_Chordata_Tunicata_Appendicularia	6	RUN0	134	SILVA138plus			Tunicata	Appendicularia											Eukaryota	90.57	Bilateria	90.57	Deuterostomia	90.57	Chordata	90.57	Tunicata	90.57	Appendicularia	90.57	Megalocercus huxleyi	18.31																										
25_Physo				018257ff5823a5dd451abdbbaba3e4f5	Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group II_uncultured eukaryote_uncultured eukaryote	6	RUN0	134	SILVA138plus			Syndiniales Group II	uncultured eukaryote	uncultured eukaryote										Eukaryota	88.04	SAR	88.04	Alveolata	88.04	Syndiniales	88.04	Syndiniales Group II	88.04	uncultured eukaryote	88.04	uncultured eukaryote	88.04																										
25_Physo				01c7b31bbf29dff239097fba833da663	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	90.33	Ascomycota	18.07	Pezizomycotina	18.07	Sordariomycetes	18.07	metagenome	18.07		0	metagenome	36.15																										
25_Physo				01e86a4c646d0acd3cb9b3ebdff395d9	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	90.29	Porifera	18.05	Demospongiae	18.05	Axinellida	18.05	Axinella pyramidata	18.05		0	Axinella pyramidata	18.05																										
25_Physo				02cc9c3ccbe821f38f8e295375955e73	Eukaryota	76	RUN0	134	SILVA138plus															Eukaryota	90.47	Ascomycota	18.14	Pezizomycotina	18.14	Sordariomycetes	18.14	metagenome	18.14		0	metagenome	36.27																										
25_Physo				033c1f4ccb4932fb30a56fe56b2685f9	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	90.33	Ascomycota	18.06	Pezizomycotina	18.06	Pleosporales	18.06	Leptosphaeriaceae	18.06	Neophaeosphaeria	18.06	uncultured fungus	36.13																										
25_Physo				0609d6e4fd7074e8e12cbbcfd8a1e3e7	Eukaryota_Bilateria_Protostomia_Lophotrochozoa_Mollusca_Bivalvia	4	RUN0	134	SILVA138plus			Mollusca	Bivalvia											Eukaryota	89.99	Bilateria	89.99	Protostomia	72.24	Lophotrochozoa	72.24	Mollusca	72.24	Bivalvia	72.24	Gastrochaena stimpsonii	18.06																										
25_Physo				077061a4818624a909cc7a78bc7c2b73	Eukaryota	4	RUN0	134	SILVA138plus															Eukaryota	90.34	Ascomycota	18.08	Pezizomycotina	18.08	Sordariomycetes	18.08	metagenome	18.08		0	metagenome	36.16																										
25_Physo				0814c5a262860b1264be2e7dce77e260	Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda	4	RUN0	134	SILVA138plus			Arthropoda												Eukaryota	90.35	Bilateria	90.35	Protostomia	90.35	Ecdysozoa	90.35	Arthropoda	90.35	Hexapoda	18.07	Asioditomyia sp	18.07																										
25_Physo				0a7476dff519211ec79985e9dfcb0567	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	90.48	SAR	18.13	Rhizaria	18.13	Cercozoa	18.13	Thecofilosea	18.13	metagenome	18.13	metagenome	36.27																										
25_Physo				0ba75dc0c7eae70b4a5bd67f864c7c8e	Eukaryota_Bilateria_Protostomia_Lophotrochozoa_Mollusca_Bivalvia	4	RUN0	134	SILVA138plus			Mollusca	Bivalvia											Eukaryota	90.31	Bilateria	72.25	Protostomia	72.25	Lophotrochozoa	72.25	Mollusca	72.25	Bivalvia	72.25	Subergorgia ornata	18.06																										
25_Physo				0bd6ec7cd41f503cdaf4005b98278189	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	90.30	Bilateria	54.18	Protostomia	54.18	Lophotrochozoa	54.18	Mollusca	54.18	Bivalvia	54.18	Meretrix meretrix	18.06																										
25_Physo				0d675f3ae73e3e9f5374904aba118ca1	Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote	268	RUN0	134	SILVA138plus			Siphonophorae	uncultured eukaryote	uncultured eukaryote										Eukaryota	91.23	Cnidaria	91.23	Hydrozoa	91.23	Hydroidolina	91.23	Siphonophorae	91.23	uncultured eukaryote	91.23	uncultured eukaryote	91.23																										
25_Physo				0eba96aa351a91211bbb639ff40b3031	Eukaryota	18	RUN0	134	SILVA138plus															Eukaryota	90.30	Bilateria	54.18	Protostomia	54.18	Lophotrochozoa	54.18	Mollusca	54.18	Bivalvia	54.18	Meretrix meretrix	18.06																										
25_Physo				0fd29380914301cbda0653235d6f7094	Eukaryota_Bilateria	4	RUN0	134	SILVA138plus															Eukaryota	90.32	Bilateria	72.25	Deuterostomia	54.19	Chordata	36.12	Vertebrata	36.12	Gnathostomata	36.12	Calidris pugnax	18.06																										
25_Physo				165d48117d80d422df619ec80296d66f	Eukaryota	6	RUN0	134	SILVA138plus															Eukaryota	90.35	Ascomycota	18.08	Pezizomycotina	18.08	Sordariomycetes	18.08	metagenome	18.08		0	metagenome	36.16																										
25_Physo				16c5a34d22f58d9ab6e0aef0cb3f8e81	Eukaryota	4	RUN0	134	SILVA138plus															Eukaryota	90.47	Ascomycota	18.14	Pezizomycotina	18.14	Sordariomycetes	18.14	metagenome	18.14		0	metagenome	36.27																										
25_Physo				170b8229300ba92a094b91f5d44a5867	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	90.33	Ascomycota	18.08	Pezizomycotina	18.08	Sordariomycetes	18.08	metagenome	18.08		0	metagenome	36.15																										
25_Physo				17575eefb2a16bc6f2bcf0f174359993	Eukaryota_Ascomycota_Pezizomycotina_Pleosporales	8	RUN0	134	SILVA138plus															Eukaryota	91.57	Ascomycota	91.57	Pezizomycotina	91.57	Pleosporales	73.26	Pleosporaceae	36.63	Alternaria	36.63	Alternaria solani	36.63																										
25_Physo				183bd4eba9118e5dc7c33612fe1a6eaa	Eukaryota_Bilateria	6	RUN0	134	SILVA138plus															Eukaryota	90.31	Bilateria	90.31	Protostomia	36.12	Lophotrochozoa	18.06	Annelida	18.06	Clitellata	18.06	Tubificoides parviductus	18.06																										
25_Physo				189a63e387723d1fdc4d08110fdb12a9	Eukaryota	4	RUN0	134	SILVA138plus															Eukaryota	89.92	Ascomycota	18.14	Pezizomycotina	18.14	Sordariomycetes	18.14	metagenome	18.14		0	metagenome	36.27																										
25_Physo				1cf12ff0a87e161e269db01d62cfd681	Eukaryota	8	RUN0	134	SILVA138plus															Eukaryota	90.33	Ascomycota	18.08	Pezizomycotina	18.08	Sordariomycetes	18.08	metagenome	18.08		0	metagenome	36.15																										
25_Physo				1d84a341fa1d60ac5b7a72607d9aa9b9	Eukaryota_Bilateria_Protostomia_Lophotrochozoa_Mollusca_Bivalvia	6	RUN0	134	SILVA138plus			Mollusca	Bivalvia											Eukaryota	90.30	Bilateria	72.24	Protostomia	72.24	Lophotrochozoa	72.24	Mollusca	72.24	Bivalvia	72.24	Subergorgia ornata	18.06																										
25_Physo				1e2479398ad6ffd035b77a9e57909b99	Eukaryota_Ctenophora	550	RUN0	134	SILVA138plus															Eukaryota	90.05	Ctenophora	71.81	Tentaculata	36.09	Cydippida	18.24	Undescribed mertensiid sp  2	18.24		0	Undescribed mertensiid sp  2	18.24																										
25_Physo				1eb352b7897282dc9fd18f78f29c5af6	Eukaryota	4	RUN0	134	SILVA138plus															Eukaryota	90.33	SAR	18.07	Rhizaria	18.07	Cercozoa	18.07	Thecofilosea	18.07	metagenome	18.07	metagenome	36.15																										
25_Physo				21fa4d8fcd8efdc0875082b0574ce3ab	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	90.31	Basidiomycota	54.19	Pucciniomycotina	54.19	Pucciniales	54.19	Phragmidiaceae	18.06	Phragmidium	18.06	Phragmidium sp	18.06																										
25_Physo				2383e804f823be74b8cf9655188a4fb1	Eukaryota	6	RUN0	134	SILVA138plus															Eukaryota	90.33	Bilateria	18.07	Deuterostomia	18.07	Chordata	18.07	Vertebrata	18.07	Gnathostomata	18.07	Fundulus heteroclitus	18.07																										
25_Physo				23b5ed2896b81668173bc5b9c8f88010	Eukaryota_SAR_Rhizaria_Cercozoa_Cercomonadidae_Cercomonas	2	RUN0	134	SILVA138plus			Cercomonadidae	Cercomonas											Eukaryota	91.09	SAR	91.09	Rhizaria	91.09	Cercozoa	91.09	Cercomonadidae	91.09	Cercomonas	91.09	uncultured eukaryote	18.31																										
25_Physo				240bdde103606902b9d0feb124af20a7	Eukaryota	8	RUN0	134	SILVA138plus															Eukaryota	90.31	SAR	18.07	Rhizaria	18.07	Cercozoa	18.07	Thecofilosea	18.07	metagenome	18.07	metagenome	36.14																										
25_Physo				24138759e820ece5fb0fbb94632d17a0	Eukaryota_SAR_Rhizaria_Cercozoa_Cercomonadidae_Cercomonas	2	RUN0	134	SILVA138plus			Cercomonadidae	Cercomonas											Eukaryota	91.09	SAR	91.09	Rhizaria	91.09	Cercozoa	91.09	Cercomonadidae	91.09	Cercomonas	91.09	uncultured eukaryote	18.31																										
25_Physo				242024f371cda416212bbefd8b08f691	Eukaryota	10	RUN0	134	SILVA138plus															Eukaryota	90.34	Ascomycota	18.08	Pezizomycotina	18.08	Sordariomycetes	18.08	metagenome	18.08		0	metagenome	36.16																										
25_Physo				24f862e9aee5b73b793cd335825f336b	Eukaryota_Discoba_Discicristata_Euglenozoa_Diplonemea	6	RUN0	134	SILVA138plus			Diplonemea												Eukaryota	88.36	Discoba	88.36	Discicristata	88.36	Euglenozoa	88.36	Diplonemea	88.36	Diplonemida sp	34.07	Diplonemida sp	34.07																										
25_Physo				256c64cb030ee34ad44e8d35828eb409	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	89.81	Ascomycota	18.08	Pezizomycotina	18.08	Sordariomycetes	18.08	metagenome	18.08		0	metagenome	36.16																										
25_Physo				25781d76af20bba09d7718edded00af5	Eukaryota	6	RUN0	134	SILVA138plus															Eukaryota	90.35	Ascomycota	18.08	Pezizomycotina	18.08	Sordariomycetes	18.08	metagenome	18.08		0	metagenome	36.16																										
25_Physo				258e182695a7c2abf72587623ea7e71e	Eukaryota	4	RUN0	134	SILVA138plus															Eukaryota	90.33	Ascomycota	18.08	Pezizomycotina	18.08	Sordariomycetes	18.08	metagenome	18.08		0	metagenome	36.15																										
25_Physo				25964ebb98d02c87a205c2aa57bb4121	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	90.47	Ctenophora	18.09	Lobata sp  Chile	18.09		0		0		0	Lobata sp  Chile	18.09																										
25_Physo				26a6ede89286780e585174ab3471a596	Eukaryota	8	RUN0	134	SILVA138plus															Eukaryota	90.35	Ascomycota	18.08	Pezizomycotina	18.08	Sordariomycetes	18.08	metagenome	18.08		0	metagenome	36.16																										
25_Physo				284f0eaadf982ef68003a35d58e25d19	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	90.34	Ascomycota	18.08	Pezizomycotina	18.08	Sordariomycetes	18.08	metagenome	18.08		0	metagenome	36.15																										
25_Physo				296ff1f362db6112bf786d6287c37304	Eukaryota	14	RUN0	134	SILVA138plus															Eukaryota	90.32	SAR	18.07	Rhizaria	18.07	Cercozoa	18.07	Thecofilosea	18.07	metagenome	18.07	metagenome	36.14																										
25_Physo				2b0824c8f099c4fd207c306a88c37492	Eukaryota	4	RUN0	134	SILVA138plus															Eukaryota	90.32	SAR	18.07	Rhizaria	18.07	Cercozoa	18.07	Thecofilosea	18.07	metagenome	18.07	metagenome	36.14																										
25_Physo				31ea28aa0ac1cfb160a672e5b8d92e02	Eukaryota	12	RUN0	134	SILVA138plus															Eukaryota	90.33	SAR	18.07	Rhizaria	18.07	Cercozoa	18.07	Thecofilosea	18.07	metagenome	18.07	metagenome	36.15																										
25_Physo				32ba17e7ece865e1d19d700b17e84ba3	Eukaryota	8	RUN0	134	SILVA138plus															Eukaryota	90.47	Ascomycota	36.21	Pezizomycotina	18.14	Sordariomycetes	18.14	metagenome	18.14		0	metagenome	36.27																										
25_Physo				32ee0bdedd7d3d98351b7d91f24914f6	Eukaryota	6	RUN0	134	SILVA138plus															Eukaryota	89.73	Ascomycota	18.08	Pezizomycotina	18.08	Sordariomycetes	18.08	metagenome	18.08		0	metagenome	36.16																										
25_Physo				3468e7028c857e26c4ba3bc4ce0ccd98	Eukaryota	14	RUN0	134	SILVA138plus															Eukaryota	90.35	Ascomycota	18.08	Pezizomycotina	18.08	Sordariomycetes	18.08	metagenome	18.08		0	metagenome	36.16																										
25_Physo				34aa2663d3d0c155abdc3666a9f0cc17	Eukaryota	10	RUN0	134	SILVA138plus															Eukaryota	90.15	Ascomycota	18.12	Pezizomycotina	18.12	Sordariomycetes	18.12	metagenome	18.12		0	metagenome	54.01																										
25_Physo				368a2d0751b2b4c51a37b4b1b351c1fc	Eukaryota	4	RUN0	134	SILVA138plus															Eukaryota	90.34	Ascomycota	18.08	Pezizomycotina	18.08	Sordariomycetes	18.08	metagenome	18.08		0	metagenome	36.16																										
25_Physo				372053553a22c987dbf8f9f4f0fd586e	Eukaryota	4	RUN0	134	SILVA138plus															Eukaryota	90.34	Ascomycota	18.08	Pezizomycotina	18.08	Sordariomycetes	18.08	metagenome	18.08		0	metagenome	36.16																										
25_Physo				389fb1153dc6847e08ee60c8bf83e865	Eukaryota	4	RUN0	134	SILVA138plus															Eukaryota	90.35	Ascomycota	18.08	Pezizomycotina	18.08	Sordariomycetes	18.08	metagenome	18.08		0	metagenome	36.15																										
25_Physo				3d0623274d19a0be9c0ae7d084531e0a	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	90.41	Porifera	36.16	Demospongiae	36.16	Axinellida	36.16	Axinella pyramidata	18.08		0	Axinella pyramidata	18.08																										
25_Physo				3e05039e5cd3c45456a86d383cc08285	Eukaryota_Ctenophora	538	RUN0	134	SILVA138plus															Eukaryota	90.05	Ctenophora	71.81	Tentaculata	36.09	Cydippida	18.24	Undescribed mertensiid sp  2	18.24		0	Undescribed mertensiid sp  2	18.24																										
25_Physo				3e9dbeac0700b9a0e966630b050abc60	Eukaryota	4	RUN0	134	SILVA138plus															Eukaryota	90.46	Ascomycota	18.13	Pezizomycotina	18.13	Sordariomycetes	18.13	metagenome	18.13		0	metagenome	36.27																										
25_Physo				3f30c50f2417011d78a8acc5d72562b2	Eukaryota	2	RUN0	134	SILVA138plus															Eukaryota	90.46	SAR	18.13	Rhizaria	18.13	Cercozoa	18.13	Thecofilosea	18.13	metagenome	18.13	metagenome	36.27																										
25_Physo				3fa16154022a769b3d22c42f2412badc	Eukaryota	6	RUN0	134	SILVA138plus															Eukaryota	90.34	Ascomycota	18.08	Pezizomycotina	18.08	Sordariomycetes	18.08	metagenome	18.08		0	metagenome	36.16																										
25_Physo				4028b9c3a0e083d4d4d87155f83516fd	Eukaryota_SAR_Stramenopiles_Ochrophyta_Bacillariophyceae	4	RUN0	134	SILVA138plus			Bacillariophyceae												Eukaryota	89.85	SAR	89.85	Stramenopiles	89.85	Ochrophyta	89.85	Bacillariophyceae	72.00	Navicula	35.95	Navicula sp	18.09																										
25_Physo				403d5fb15f765536d1b1ef9207120415	Eukaryota	8	RUN0	134	SILVA138plus															Eukaryota	90.46	Ascomycota	18.14	Pezizomycotina	18.14	Sordariomycetes	18.14	metagenome	18.14		0	metagenome	36.27																										
25_Physo				409cfeee24a7e42a910d1717d3d263ce	Eukaryota_Bilateria_Deuterostomia_Chordata_Tunicata_Appendicularia	14	RUN0	134	SILVA138plus			Tunicata	Appendicularia											Eukaryota	90.57	Bilateria	90.57	Deuterostomia	90.57	Chordata	90.57	Tunicata	90.57	Appendicularia	90.57	Megalocercus huxleyi	18.31																										
25_Physo				4103e0380de13be6afcf306f55798eb2	Eukaryota	4	RUN0	134	SILVA138plus															Eukaryota	90.29	Porifera	18.05	Demospongiae	18.05	Axinellida	18.05	Axinella pyramidata	18.05		0	Axinella pyramidata	18.05																										
25_Physo				41443f4d783600c9b9f07df3410798cf	Eukaryota	24	RUN0	134	SILVA138plus															Eukaryota	90.19	Ascomycota	18.14	Pezizomycotina	18.14	Sordariomycetes	18.14	metagenome	18.14		0	metagenome	36.27																										
25_Physo				419a03340b0cb7475ba325b5a2681dd7	Eukaryota_Bilateria	4	RUN0	134	SILVA138plus															Eukaryota	90.02	Bilateria	90.02	Deuterostomia	54.19	Chordata	54.19	Vertebrata	54.19	Gnathostomata	54.19	Danio rerio	54.19																										
