Sample,Lowest ID,Broad group,Stage,Count,Fraction split,Representative count,Density in water column (ind./dm3)
D1139-BWT1,Sagitta sp.,Chaetognath,Adult + Juvenile,14,32,448,
D1139-BWT1,Narcomedusae,Hydromedusa,Juvenile,13,32,416,
D1139-BWT1,Engraulidae,Actinopteri,Egg,9,32,288,
D1139-BWT1,Pleurobrachia bachei,Ctenophore,Adult,168,1,168,
D1139-BWT1,Pleurobrachia bachei,Ctenophore,Adult,5,32,160,
D1139-BWT1,Beroe gracilis,Ctenophore,Adult,3,32,96,
D1139-BWT1,Gastropoda,Gastropod,Veliger,1,32,32,
D1139-BWT1,Sergestidae,Decapod,Elaphocaris,1,32,32,
D1139-BWT1,Nanomia sp. (pneumatophore),Siphonophore,Polygastric,1,32,32,
D1139-BWT1,Bivalvia,Bivalve,Veliger,1,32,32,
D1139-BWT1,Centropages bradyi,Copepod,Adult,1,32,32,
D1139-BWT1,Calanoida,Copepod,Adult,9,1,9,
D1139-BWT1,Beroe gracilis,Ctenophore,Adult,7,1,7,
D1139-BWT1,Eucalanus californicus,Copepod,Adult,4,1,4,
D1139-BWT1,Mitrocomella sp.,Hydromedusa,Adult,3,1,3,
D1139-BWT1,Nanomia sp. (pneumatophore),Siphonophore,Polygastric,2,1,2,
D1139-BWT1,Bolinopsis sp. (comb row),Ctenophore,Adult,2,1,2,
D1139-BWT1,Oikopleura dioica,Larvacean,Adult,2,1,2,
D1139-BWT1,Polychaeta (piece),Polychaete,Adult,2,1,2,
D1139-BWT1,Cirripedia,Barnacle,Cypris,1,1,1,
D1139-BWT1,Geryonidae,Decapod,Zoea,1,1,1,
D1139-BWT1,Carcinidae,Decapod,Zoea,1,1,1,
D1139-BWT1,Clytia gregaria,Hydromedusa,Adult,1,1,1,
D1139-BWT1,Carangidae,Actinopteri,Egg,1,1,1,
D1139-BWT1,Narcomedusae,Hydromedusa,Juvenile,1,1,1,
D1139-BWT1,Caligidae,Copepod,"Adult, gravid",1,1,1,
D1139-BWT1,Engraulidae,Actinopteri,Larva,1,1,1,
29Mar19-BW3,Copepoda (<2mm),Copepod,Adult + Copepodite,1603,16,25648,
29Mar19-BW3,Copepoda (Calanus pacificus) (>2mm),Copepod,Adult,226,16,3616,
29Mar19-BW3,Corycaeus sp.,Copepod,Adult,192,16,3072,
29Mar19-BW3,Oikopleura dioica,Larvacean,Adult,94,16,1504,
29Mar19-BW3,Euphausiidae,Krill,Calytopsis,44,16,704,
29Mar19-BW3,Euphausiidae,Krill,Metanauplius,38,16,608,
29Mar19-BW3,Sagitta sp.,Chaetognath,Adult + Juvenile,25,16,400,
29Mar19-BW3,Muggiaea atlantica,Siphonophore,Polygastric,13,16,208,
29Mar19-BW3,Eucalanus californicus,Copepod,Nauplius,12,16,192,
29Mar19-BW3,Bilateria,Animal,Egg,9,16,144,
29Mar19-BW3,Evadne sp.,Cladoceran,Adult,8,16,128,
29Mar19-BW3,Euphausiidae,Krill,Furcilia,6,16,96,
29Mar19-BW3,Gastropoda,Gastropod,Veliger,4,16,64,
29Mar19-BW3,Muggiaea atlantica,Siphonophore,Eudoxid,4,16,64,
29Mar19-BW3,Bivalvia,Bivalve,Veliger,3,16,48,
29Mar19-BW3,Anthoathecata,Hydromedusa,Adult,2,16,32,
29Mar19-BW3,Salpida,Salp,Blastozooid,1,16,16,
29Mar19-BW3,Cirripedia,Barnacle,Cypris,1,16,16,
29Mar19-BW3,Eucalanus californicus,Copepod,Adult,1,16,16,
29Mar19-BW3,Sphaeronectes koellikeri,Siphonophore,Polygastric,9,1,9,
29Mar19-BW3,Pleurobrachia sp.,Ctenophore,Adult,4,1,4,
29Mar19-BW3,Beroe sp.,Ctenophore,Adult,3,1,3,
29Mar19-BW3,Muggiaea atlantica,Siphonophore,Polygastric,2,1,2,
29Mar19-BW3,Thunnus sp.,Actinopteri,Larva,1,1,1,
29Mar19-BW3,Geryonidae,Decapod,Zoea II,1,1,1,
29Mar19-BW3,Oikopleura dioica,Larvacean,Adult,1,1,1,
29Mar19-BW3,Salpida,Salp,Blastozooid,1,1,1,
D1137-T1,"Copepoda (Calanus pacificus, Pleuromamma sp., Eucalanus californicus, Candacia sp., Euchaeta sp., Gaetanus sp., Gaussia sp.)",Copepod,Adult,3790,16,60640,
D1137-T1,Euphausiidae (Euphausia pacifica + Nematoscelis difficilis),Krill,Furcilia,623,16,9968,
D1137-T1,Sagittoidea,Chaetognath,Adult,443,16,7088,
D1137-T1,Halocyprida,Ostracod,Adult,331,16,5296,
D1137-T1,Euphausiidae (Euphausia pacifica + Nematoscelis difficilis),Krill,Calytopsis,98,16,1568,
D1137-T1,Bilateria,Animal,Egg,72,16,1152,
D1137-T1,Microsetella sp.,Copepod,Adult,19,16,304,
D1137-T1,Diphyidae,Siphonophore,Eudoxid,15,16,240,
D1137-T1,Chuniphyes multidentata (anterior),Siphonophore,Polygastric,12,16,192,
D1137-T1,Thalia democratica,Salp,Blastozooid,6,16,96,
D1137-T1,Lensia sp.,Siphonophore,Polygastric,6,16,96,
D1137-T1,Hyperiidae,Amphipod,Juvenile,6,16,96,
D1137-T1,Eusergestes similis,Decapod,Elaphocaris,6,16,96,
D1137-T1,Sagitta sp. (lyra et. al.) > 2cm,Chaetognath,Adult,74,1,74,
D1137-T1,Polychaeta,Polychaete,Nectotroch,4,16,64,
D1137-T1,Oikopleura sp.,Larvacean,Adult,3,16,48,
D1137-T1,Hydrozoa,Hydromedusa,Adult,3,16,48,
D1137-T1,Vibilia armata,Amphipod,Adult,2,16,32,
D1137-T1,Tomopteris sp.,Polychaete,Adult,2,16,32,
D1137-T1,Narcomedusae,Hydromedusa,Adult,2,16,32,
D1137-T1,Mysida,Mysid,Juvenile,2,16,32,
D1137-T1,Muggiaea atlantica,Siphonophore,Polygastric,2,16,32,
D1137-T1,Hydrozoa,Hydromedusa,Adult,2,16,32,
D1137-T1,Eusergestes similis,Decapod,Mysis,2,16,32,
D1137-T1,Euphausia pacifica,Krill,Adult,2,16,32,
D1137-T1,Doliolida,Doliolid,Oozoid,2,16,32,
D1137-T1,Ctenophora,Ctenophore,Adult,2,16,32,
D1137-T1,Chuniphyes sp. (posterior),Siphonophore,Polygastric,2,16,32,
D1137-T1,Balanomorpha,Barnacle,Nauplius,2,16,32,
D1137-T1,Alciopida,Polychaete,Adult,2,16,32,
D1137-T1,Aglaura sp.,Hydromedusa,Adult,2,16,32,
D1137-T1,Euphausia pacifica,Krill,Adult,22,1,22,
D1137-T1,Scina sp.,Amphipod,Adult,1,16,16,
D1137-T1,Prayidae,Siphonophore,Nectophore,1,16,16,
D1137-T1,Prayidae,Siphonophore,Eudoxid,1,16,16,
D1137-T1,Polychaeta,Polychaete,Adult,1,16,16,
D1137-T1,Poeobius meseres,Polychaete,Adult,1,16,16,
D1137-T1,Pneumatodermatidae,Gastropod,Adult,1,16,16,
D1137-T1,Phronima sp.,Amphipod,Adult,1,16,16,
D1137-T1,Nanomia sp. (pneumatophore),Siphonophore,Polygastric,1,16,16,
D1137-T1,Lensia multicristata,Siphonophore,Polygastric,1,16,16,
D1137-T1,Lensia conoidea,Siphonophore,Polygastric,1,16,16,
D1137-T1,Hippopodius hippopus,Siphonophore,Larval nectophore,1,16,16,
D1137-T1,Haliscera sp.,Hydromedusa,Adult,1,16,16,
D1137-T1,Cyclothone signata,Actinopteri,Adult,1,16,16,
D1137-T1,Conchoecilla sp.,Ostracod,Adult,1,16,16,
D1137-T1,Colobonema sericeum,Hydromedusa,Adult,1,16,16,
D1137-T1,Chuniphyes moserae,Siphonophore,Polygastric,1,16,16,
D1137-T1,Chelophyes appendiculata,Siphonophore,Polygastric,1,16,16,
D1137-T1,Brachipoda,Brachiopod,Lecitotrophic larva,1,16,16,
D1137-T1,Calanoida,Copepod,Adult,14,1,14,
D1137-T1,Colobonema sericeum,Hydromedusa,Adult,10,1,10,
D1137-T1,Lensia conoidea,Siphonophore,Polygastric,5,1,5,
D1137-T1,Cyclothone signata,Actinopteri,Adult,4,1,4,
D1137-T1,Chelophyes appendiculata,Siphonophore,Polygastric,4,1,4,
D1137-T1,Salpa fusiformis,Salp,Oozoid,3,1,3,
D1137-T1,Poeobius meseres,Polychaete,Adult,3,1,3,
D1137-T1,Myctophum sp.,Actinopteri,Adult,3,1,3,
D1137-T1,Hydrozoa,Hydromedusa,Adult,3,1,3,
D1137-T1,Haliscera sp.,Hydromedusa,Adult,3,1,3,
D1137-T1,Chuniphyes multidentata (anterior),Siphonophore,Polygastric,3,1,3,
D1137-T1,Beroe sp.,Ctenophore,Adult,3,1,3,
D1137-T1,Scina sp.,Amphipod,Adult,2,1,2,
D1137-T1,Paraphronima sp.,Amphipod,Adult,2,1,2,
D1137-T1,Euphausia pacifica,Krill,Furcilia,2,1,2,
D1137-T1,Eucalanus californicus,Copepod,Adult,2,1,2,
D1137-T1,Chuniphyes sp. (posterior),Siphonophore,Polygastric,2,1,2,
D1137-T1,Atolla sp.,Scyphomedusa,Adult,2,1,2,
D1137-T1,Tomopteris sp.,Polychaete,Adult,1,1,1,
D1137-T1,Streetsia challengeri,Amphipod,Adult,1,1,1,
D1137-T1,Sergestoidea,Decapod,Adult,1,1,1,
D1137-T1,Pyrosoma atlanticum,Pyrosome,Adult,1,1,1,
D1137-T1,Hyperiidea,Amphipod,Adult,1,1,1,
D1137-T1,Gaussia princeps,Copepod,Adult,1,1,1,
D1137-T1,Gaetanus sp.,Copepod,Adult,1,1,1,
D1137-T1,Cyclothone sp.,Actinopteri,Larval,1,1,1,
